Date,Day,Home,Division,League,Matchup,,,,Attend,IL?,Notes,
12-Apr,Sat,Brewers,NL Central,NL,at Milwaukee 3 Pittsburgh 2,Henderson (1-0),Melancon (0-1),Rodriguez (4),42828,,,
12-Apr,Sat,Braves,NL East,NL,at Atlanta 6 Washington 3,Wood (2-1),Jordan (0-1),Kimbrel (5),36621,,,
12-Apr,Sat,Rangers,AL West,AL,Houston 6 at Texas 5,Chapman (1-0),Soria (1-1),Bass (2),42577,,,
12-Apr,Sat,Dbacks,NL West,NL,LA Dodgers 8 at Arizona 5,Greinke (3-0),Miley (2-2),Jansen (3),38374,,,
12-Apr,Sat,Padres,NL West,NL,Detroit 6 at San Diego 2,Verlander (1-1),Kennedy (1-2),,42182,y,,
12-Apr,Sat,Angels,AL West,AL,NY Mets 7 at LA Angels 6,Lannan (1-0),Shoemaker (0-1),,40027,y,,
12-Apr,Sat,Mariiners,AL West,AL,Oakland 3 at Seattle 1,Gray (2-0),Ramirez (1-2),Gregerson (1),22061,,,
13-Apr,Sun,Reds,NL Central,NL,at Cincinnati 12 Tampa Bay 4,Cingrani (1-1),Ramos (0-1),,34307,y,,
13-Apr,Sun,Orioles,AL East,AL,Toronto 11 at Baltimore 3,Buehrle (3-0),Jimenez (0-3),,39281,,,
13-Apr,Sun,Braves,NL East,NL,at Atlanta 10 Washington 2,Harang (2-1),Gonzalez (2-1),,27919,,,
13-Apr,Sun,Phillies,NL East,NL,at Philadelphia 4 Miami 3,Bastardo (1-1),Dunn (0-1),Papelbon (3),34272,,,
13-Apr,Sun,White Sox,AL Central,AL,at Chicago White Sox 4 Cleveland 3,Lindstrom (1-1),Axford (0-1),,14281,,,
13-Apr,Sun,Brewers,NL Central,NL,at Milwaukee 4 Pittsburgh 1,Lohse (2-1),Morton (0-1),Smith (1),32152,,,
13-Apr,Sun,Twins,AL Central,AL,at Minnesota 4 Kansas City 3,Fien (1-0),Crow (0-1),Perkins (3),20878,,,
13-Apr,Sun,Cardinals,NL Central,NL,at St. Louis 6 Chicago Cubs 4,Wacha (2-0),Jackson (0-1),Rosenthal (4),44135,,,
13-Apr,Sun,Rangers,AL West,AL,at Texas 1 Houston 0,Perez (2-0),Oberholtzer (0-3),Ogando (1),38698,,,
13-Apr,Sun,Angels,AL West,AL,at LA Angels 14 NY Mets 2,Wilson (2-1),Colon (1-2),,38855,y,,
13-Apr,Sun,Giants,NL West,NL,at San Francisco 5 Colorado 4,Romo (1-0),Brothers (1-1),,41490,,,
13-Apr,Sun,Mariiners,AL West,AL,Oakland 3 at Seattle 0,Otero (2-0),Furbush (0-1),Doolittle (1),22628,,,
13-Apr,Sun,Padres,NL West,NL,at San Diego 5 Detroit 1,Ross (1-2),Scherzer (0-1),,32267,y,,
13-Apr,Sun,Dbacks,NL West,NL,LA Dodgers 8 at Arizona 6,Haren (2-0),Cahill (0-3),Jansen (4),31757,,,
13-Apr,Sun,Yankees,AL East,AL,at NY Yankees 3 Boston 2,Nova (2-1),Doubront (1-2),Kelley (3),46081,,,
14-Apr,Mon,Phillies,NL East,NL,Atlanta 9 at Philadelphia 6,Avilan (3-1),Diekman (1-1),Carpenter (1),26516,,,
14-Apr,Mon,Orioles,AL East,AL,at Baltimore 7 Tampa Bay 1,Chen (2-1),Archer (1-1),,15799,,,
14-Apr,Mon,Reds,NL Central,NL,Pittsburgh 8 at Cincinnati 7,Morris (2-0),LeCure (0-1),Grilli (4),17756,,,
14-Apr,Mon,Marlins,NL East,NL,Washington 9 at Miami 2,Zimmermann (1-0),Hand (0-1),,18788,,,
14-Apr,Mon,Rangers,AL West,AL,Seattle 7 at Texas 1,Elias (1-1),Lewis (0-1),,23081,,,
14-Apr,Mon,Brewers,NL Central,NL,St. Louis 4 at Milwaukee 0,Lynn (3-0),Garza (0-2),,27090,,,
14-Apr,Mon,Dbacks,NL West,NL,NY Mets 7 at Arizona 3,Wheeler (1-2),Collmenter (0-1),Torres (1),18099,,,
14-Apr,Mon,Angels,AL West,AL,Oakland 3 at LA Angels 2,Johnson (1-2),Frieri (0-1),Gregerson (2),37120,,,
14-Apr,Mon,Padres,NL West,NL,at San Diego 5 Colorado 4,Thayer (2-0),Brothers (1-2),Street (4),14784,,,
15-Apr,Tues,Orioles,AL East,AL,Tampa Bay at Baltimore,Postponed,,,N/A,,,
15-Apr,Tues,Yankees,AL East,AL,Chicago Cubs at NY Yankees,Postponed,,,N/A,y,,
15-Apr,Tues,Phillies,NL East,NL,Atlanta at Philadelphia,Postponed,,,N/A,,,
15-Apr,Tues,Tigers,AL Central,AL,Cleveland at Detroit,Postponed,,,N/A,,,
15-Apr,Tues,Marlins,NL East,NL,at Miami 11 Washington 2,Koehler (2-1),Strasburg (1-2),,19931,,,
15-Apr,Tues,Reds,NL Central,NL,at Cincinnati 7 Pittsburgh 5,Leake (2-1),Cole (2-1),Broxton (1),18462,,,
15-Apr,Tues,Rangers,AL West,AL,at Texas 5 Seattle 0,Ross (1-0),Beavan (0-1),,26628,,,
